분야,헤드라인,신문사,뉴스url,본문요약,keyword,총 댓글수,긍정적 댓글비율(%)
정치,"김의겸 ""흑석동 집 팔겠다…매각 차액은 전액기부""",연합뉴스,https://news.naver.com/main/ranking/read.nhn?rankingType=popular_day&oid=001&aid=0011248408&date=20191201&type=1&rankingSectionId=100&rankingSeq=11,"['청와대 김의 겸 대변인이 2019년 3월 8일 오전 춘추관 대 브리핑 룸에서 7개 부처 장관을 교체하는 문 재인 대통령의 인사 발표를 하고 있다.', '[ 연합 뉴스 자료사진] 청와대 김의 겸 대변인이 2019년 3월 8일 오전 춘추관 대 브리핑 룸에서 7개 부처 장관을 교체하는 문 재인 대통령의 인사 발표를 하고 있다.', '[ 연합 뉴스 자료사진] 김의 겸 전 대변인 페이스 북 캡 처 김의 겸 전 대변인 페이스 북 캡 처 "" 야당· 보수언론 부동산 정책 신뢰도 떨어뜨리는 데 먹잇감돼"""" 정책 걸림돌 돼 선 안되기에 결심… 무주택자로 돌아간다""""\' 아내 탓\' 비판 아팠지만 거짓말 아냐… 송금 당시 모스크 바 行 비행기 안이었다""( 서울= 연합 뉴스) 임 형섭 기자 = 김의 겸 전 청와대 대변인은 1일 "" 청와대 대변인 시절 매입해 물의를 일으킨 흑석동의 집을 판다 ""며 "" 매 각 뒤 남은 차액에 대해서는 전액 기부하고 내역을 공개하겠다"" 고 밝혔다.']",['대변인'],1760,25.113636363636367
정치,"‘우리가 황교안’ 신보라·정미경, 黃 만류에도 “단식 투쟁 계속”",서울신문,https://news.naver.com/main/ranking/read.nhn?rankingType=popular_day&oid=081&aid=0003047680&date=20191201&type=1&rankingSectionId=100&rankingSeq=12,"['2019.11.30 연합 뉴스 ‘ 동 조 단식’ 정미 경? 신 보라에 중단 권유 - 자유 한국 당 박 맹우 사무총장이 30일 오전 청와대 앞에서 단식 중인 정미 경? 신 보라 최고위원에게 ‘ 황 교 안 대표의 단식 중단 요청’ 을 전달하고 있다.', '2019.11.30 연합 뉴스 ‘ 동 조 단식’ 정미 경? 신 보라에 중단 권유 - 자유 한국 당 박 맹우 사무총장이 30일 오전 청와대 앞에서 단식 중인 정미 경? 신 보라 최고위원에게 ‘ 황 교 안 대표의 단식 중단 요청’ 을 전달하고 있다.', '2019.11.30 연합 뉴스 ‘ 동 조 단식’ 정미 경? 신 보라에 중단 권유 - 자유 한국 당 박 맹우 사무총장이 30일 오전 청와대 앞에서 단식 중인 정미 경? 신 보라 최고위원에게 ‘ 황 교 안 대표의 단식 중단 요청’ 을 전달하고 있다.']",['단식'],1712,25.292056074766357
정치,단식 중단 나흘만에 황교안 2일 복귀…긴박한 정국 풀어낼까,중앙일보,https://news.naver.com/main/ranking/read.nhn?rankingType=popular_day&oid=025&aid=0002956946&date=20191201&type=1&rankingSectionId=100&rankingSeq=13,"['황 교 안 자유 한국 당 대표가 21일 청와대 앞 분수대 광장에서 최고위원회의를 마친 뒤 단식 농성을 하고 있다.', '임 현동 기자 /20191121 황 교 안 자유 한국 당 대표가 21일 청와대 앞 분수대 광장에서 최고위원회의를 마친 뒤 단식 농성을 하고 있다.', '임 현동 기자 /20191121 황 교 안 자유 한국 당 대표가 2일 최고위원회의를 시작으로 당무에 복귀한다.']",['대표'],832,30.76923076923077
정치,"[속보] 바른미래당, 오신환·유승민 당원권 1년 정지",서울신문,https://news.naver.com/main/ranking/read.nhn?rankingType=popular_day&oid=081&aid=0003047806&date=20191201&type=1&rankingSectionId=100&rankingSeq=14,"['오신 환 바른 미래 당 원내 대표가 1일 오전 서울 여의도 국회에서 기자 간담회를 갖고 있다.', '2019.12.1 뉴스 1 오신 환 바른 미래 당 원내 대표가 1일 오전 서울 여의도 국회에서 기자 간담회를 갖고 있다.', '‘ 원내 대표 지위는 당 원권과 상관없다’ 는 입장이다.']",['윤리'],528,22.727272727272727
정치,황운하 내년 총선 출마 사실상 좌절… “헌법소원 제기하겠다”,세계일보,https://news.naver.com/main/ranking/read.nhn?rankingType=popular_day&oid=022&aid=0003418495&date=20191201&type=1&rankingSectionId=100&rankingSeq=15,"['뉴스 1 김 기현 전 울산시장 측근 수사로 선거 개입 의혹이 일고 있는 황 운하 대전지방 경찰청장( 전 울산 경찰청장) 이 연일 사회관계 망서비스 (SNS )를 통해 제기된 의혹에 일일이 대응하며 정치권과 검찰에 맹공을 퍼붓고 있다.', '일부 언론에서 제기한 김 기현 전 시장을 둘러싼 경찰 수사 경위도 다시 한 번 조목조목 설명했다.', '황 청장은 하루 전 일부 언론에서 제기한 이른바 ‘ 장어 집 회동’ 의혹에 대해서도 지난달 30 일 페이스 북을 통해 이를 강력히 부인했다.']",['검찰'],995,26.834170854271356
정치,"[비하인드 뉴스] ""EBS 수신료 늘려달라"" 청원…'10살 가장' 펭수",JTBC,https://news.naver.com/main/ranking/read.nhn?rankingType=popular_day&oid=437&aid=0000225478&date=20191201&type=2&rankingSectionId=100&rankingSeq=16,"['', '일각에서는 다음 주에 본회의가 열린다면 민 식이 법 같은 비 쟁점 법안만 원 포인트로 처리 하자라는 방안도 거론이 되고는 했지만 여야의 불신과 간극이 워낙 크기 때문에 가능성이 높아 보이지는 않습니다.', '제가 생각했을 때는 사장님도 능력이 있지만, 그걸 이뤄 내는 건 펭 수입니다.']",['한국'],209,23.444976076555022
정치,김의겸 “흑석동 집 판다”…박지원 “장하다. 존경한다”,서울신문,https://news.naver.com/main/ranking/read.nhn?rankingType=popular_day&oid=081&aid=0003047739&date=20191201&type=1&rankingSectionId=100&rankingSeq=17,"['김의 겸 전 청와대 대변인. 서울신문 DB 김의 겸 전 청와대 대변인. 서울신문 DB 박지원 대안 신당 의원. 서울신문 DB 박지원 대안 신당 의원. 서울신문 DB [ 서울신문] 김의 겸 전 청와대 대변인이 1일 청와대 대변인 시절 매입해 물의를 일으킨 서울 흑석동 집을 매각할 계획이라고 밝힌 가운데 박지원 대안 신당 의원이 “ 존경한다” 는 입장을 밝혔다.', '김 전 대변인은 이날 페이스 북에 글을 올려 “ 청와대 대변인 시절 매입해 물의를 일으킨 흑석동의 집을 판다 ”며 “ 매 각 뒤 남은 차액에 대해서는 전액 기부하고 내역을 공개하겠다” 고 밝혔다.', '앞서 김 전 대변인은 지난해 7월 흑석동 상가 건물을 25억 7000만원에 매입했으며 이 사실이 올해 3월 알려 지며 투기 논란이 일자 청와대 대변인에서 사퇴했다.']",['대변인'],837,22.70011947431302
정치,'필리버스터 돌파구' 모색하는 與…'4+1 공조' 힘 받을까,뉴스1,https://news.naver.com/main/ranking/read.nhn?rankingType=popular_day&oid=421&aid=0004334804&date=20191201&type=1&rankingSectionId=100&rankingSeq=18,"['이해 찬 더불어 민주당 대표와 이인영 원내 대표를 비롯한 의원들이 29일 서울 여의도 국회 로 텐 더 홀에서 민생파괴! 국회파괴! 자유 한국 당 규탄대회를 열고 구호를 외치고 있다.', '2019.11.29/ 뉴스 1 © News1 이종덕 기자 이해 찬 더불어 민주당 대표와 이인영 원내 대표를 비롯한 의원들이 29일 서울 여의도 국회 로 텐 더 홀에서 민생파괴! 국회파괴! 자유 한국 당 규탄대회를 열고 구호를 외치고 있다.', ""패스트 트랙 협상에서 교섭단체 간 '3 +3', 여야 5 당 대표 간 ' 정치협상회의 '를 통해 한국 당과의 연결고리를 놓지 않으려 한 민주당이었지만, 전날 한국당이 민생 법안까지 겨냥한 필리 버스터를 신청하면서 ' 한국당 배제' 카드를 다시 만지작거리고 있다.4""]",['민주당'],891,25.140291806958476
정치,[속보] 이인영 “민식이법이 왜 필리버스터 대상인지 이해 못해”,세계일보,https://news.naver.com/main/ranking/read.nhn?rankingType=popular_day&oid=022&aid=0003418480&date=20191201&type=1&rankingSectionId=100&rankingSeq=19,"['더불어 민주당 이인영 원내 대표가 1일 오전 서울 여의도 국회에서 기자 간담회를 갖고 있다.', '뉴스 1 더 불어 민주당 이인영 원내 대표가 자유 한국당이 민 식이 법이 포함된 198개 법안에 대해 필리 버스터를 신청한 것에 대해 “ 민 식이 법이 왜 필리 버스터 대상인지 이해 못한다 ”라고 말했다.', '이 원내 대표는 1일 오전 11시 민주당 원내 대표 회의실에서 기자 간담회를 열고 “ 한국 당의 필리 버스터는 우리 국회를 봉쇄됐다 ”며 “ 한국당의 근본 없는 정치 행태가 만천하에 드러냈다” 라며 이같이 밝혔다.']",['민주당'],2936,21.696185286103542
정치,[속보] 靑 민정비서관실 행정관 출신 검찰수사관 숨진채 발견,헤럴드경제,https://news.naver.com/main/ranking/read.nhn?rankingType=popular_day&oid=016&aid=0001608714&date=20191201&type=1&rankingSectionId=100&rankingSeq=20,"['[ 연합] [ 연합] [ 헤럴드 경제] 백 원우 전 청와대 민정비서관 휘하에서 근무한 특감 반원( 현 검찰 수사관) 이 사망한 상태로 발견됐다.1', '이번 의혹과 관련해 한 차례 조사를 받았던', 'A 씨는 전날도 검찰 조사가 예정돼 있었지만 불응한 것으로 알려 졌다.onlinenews']",['원우'],1335,26.96629213483146
